"start time", 224
"stop time", 266
"Time (s)","BCG","ECG ch1","ECG ch2"
0.223753,,16004508,14063362
0.224738,,16005870,14054052
0.225693,,16004110,14050399
0.226679,,16004471,14043979
0.227664,,16010032,14027315
0.228649,,16008595,14023733
0.229605,,16003449,14032916
0.230590,4287370095,16004519,14033062
0.231575,,16008694,14031262
0.232531,,16008562,14030790
0.233516,,16005108,14029200
0.234501,,16006627,14032537
0.235487,,16006762,14044520
0.236442,,16006594,14052469
0.237427,,16004082,14047940
0.238413,4287390198,16001066,14035841
0.239398,,16001009,14030664
0.242324,,16008412,14028724
0.243279,,16004222,14031241
0.244265,,16000932,14027707
0.245250,,16003883,14018928
0.246235,4287408326,16011284,14015452
0.247191,,16011932,14016885
0.248176,,16009736,14018197
0.249161,,16006674,14024761
0.250147,,16006032,14029273
0.251102,,16009569,14028000
0.252087,,16010672,14021607
0.253073,,16011130,14014296
0.254058,,16013992,14007549
0.255013,4287417292,16016725,14006220
0.255999,,16017977,14010949
0.256984,,16017790,14018399
0.257940,,16016929,14017214
0.258925,,16014887,14014722
0.259910,,16011816,14012313
0.260895,,16012580,14008128
0.261851,,16013080,13996855
0.262836,4287413607,16011315,13983564
0.263821,,16010919,13988159
0.264777,,16010030,14000124
0.265762,,16007984,14007460
0.266747,,16006899,14004145
0.267733,,16007645,13999610
0.268688,,16009360,13995080
0.269674,,16010210,13986854
0.270659,4287401129,16006021,13983055
0.271644,,16002443,13985282
0.272600,,16002414,13986814
0.273585,,16005285,13977707
0.274570,,16012150,13968224
0.275555,,16010645,13961075
0.276511,,16006222,13961354
0.277496,,16008808,13963101
0.278482,4287385810,16005019,13961204
0.279437,,15997751,13959262
0.282064,,16006052,13954970
0.282393,,16009605,13957352
0.283348,,16010855,13958265
0.284334,,16008125,13958132
0.285319,,16001037,13959772
0.286304,,16000585,13963729
0.287260,4287370162,16003013,13963665
0.288245,,16004060,13958209
0.289230,,16001374,13953909
0.290186,,16003819,13950135
0.291171,,16007114,13946771
0.292156,,16011429,13944689
0.293142,,16015128,13941808
0.294097,,16013305,13937724
0.295082,4287355937,16010140,13936079
0.296068,,16007072,13932802
0.297053,,16003675,13928630
0.298008,,16001822,13926154
0.298994,,16002376,13927278
0.299979,,16006539,13924824
0.300934,,16005919,13923906
0.301920,,15996872,13925153
0.302905,4287343895,15994836,13921284
0.303890,,16004120,13910496
0.304846,,16008934,13903220
0.305831,,16002865,13903805
0.306816,,16001382,13904900
0.307772,,16006433,13902341
0.308757,,16008724,13900137
0.309742,,16006937,13901085
0.310728,4287334273,16006749,13902470
0.311683,,16002984,13899879
0.312668,,15999600,13897514
0.313654,,15999807,13896807
0.314639,,16004157,13899945
0.315594,,16005067,13894097
0.316580,,16004323,13889990
0.317565,,15999780,13894340
0.318521,,15998530,13894623
0.319506,4287327013,16000944,13885216
0.322432,,16002311,13857195
0.323417,,16000237,13869862
0.324402,,15999232,13881992
0.325388,,15998058,13880584
0.326343,,16000665,13874977
0.327328,4287321924,16001421,13866787
0.328314,,16004759,13866959
0.329269,,16008204,13870504
0.330255,,16010320,13875804
0.331240,,16006931,13881749
0.332225,,16005474,13880519
0.333181,,16004241,13878483
0.334166,,16004856,13877012
0.335151,4287319006,16007196,13877034
0.336136,,16006987,13872914
0.337092,,16006069,13868347
0.338077,,16005942,13869270
0.339063,,16009320,13865022
0.340018,,16010262,13860709
0.341003,,16007639,13858989
0.341989,,16003912,13849869
0.342974,4287317976,16001764,13843813
0.343929,,16004935,13839995
0.344915,,16009421,13835069
0.345900,,16009328,13840283
0.346885,,16006554,13847087
0.347841,,16004664,13844320
0.348826,,16006747,13841296
0.349811,,16007524,13843475
0.350767,,16006717,13845365
0.351752,4287318963,16008301,13846412
0.352737,,16011473,13850872
0.353723,,16009944,13859118
0.354678,,16009052,13858597
0.355663,,16009307,13846202
0.356649,,16010442,13837426
0.357634,,16006352,13842254
0.358589,,16001920,13847494
0.359575,4287321731,16004079,13844544
0.362501,,16008549,13848366
0.363486,,16006801,13838021
0.364471,,16006727,13811473
0.365427,,16006640,13802971
0.366412,,16010265,13814706
0.367397,4287325476,16010282,13826540
0.368383,,16009674,13830240
0.369338,,16010140,13830687
0.370323,,16009167,13826172
0.371309,,16013124,13817370
0.372264,,16016079,13813862
0.373249,,16017436,13815496
0.374235,,16016966,13813210
0.375220,4287329852,16013640,13803378
0.376175,,16014832,13801918
0.377161,,16017024,13804190
0.378146,,16015360,13802304
0.379131,,16013761,13797366
0.380087,,16017685,13801060
0.381072,,16025744,13806104
0.382057,,16027173,13811247
0.383013,,16022533,13812445
